disease_id,disease_name,symptom_id,symptom_name
DIS043,Stroke,SYM0140,vision loss
DIS043,Stroke,SYM0035,dizziness
DIS043,Stroke,SYM0141,loss of balance
DIS044,Parkinson's Disease,SYM0142,tremors
DIS044,Parkinson's Disease,SYM0143,slow movement
DIS044,Parkinson's Disease,SYM0144,muscle rigidity
DIS044,Parkinson's Disease,SYM0058,balance problems
DIS044,Parkinson's Disease,SYM0145,speech changes
DIS044,Parkinson's Disease,SYM0146,writing changes
DIS044,Parkinson's Disease,SYM0147,mask-like face
DIS045,Alzheimer's Disease,SYM0055,memory loss
DIS045,Alzheimer's Disease,SYM0045,confusion
DIS045,Alzheimer's Disease,SYM0148,disorientation
DIS045,Alzheimer's Disease,SYM0056,mood changes
DIS045,Alzheimer's Disease,SYM0149,difficulty with tasks
DIS045,Alzheimer's Disease,SYM0150,language problems
DIS045,Alzheimer's Disease,SYM0151,wandering
DIS046,Multiple Sclerosis,SYM0054,numbness
DIS046,Multiple Sclerosis,SYM0015,weakness
DIS046,Multiple Sclerosis,SYM0152,vision problems
DIS046,Multiple Sclerosis,SYM0010,fatigue
DIS046,Multiple Sclerosis,SYM0058,balance problems
DIS046,Multiple Sclerosis,SYM0153,cognitive issues
DIS046,Multiple Sclerosis,SYM0154,bladder problems
DIS047,Meningitis,SYM0023,severe headache
DIS047,Meningitis,SYM0155,neck stiffness
DIS047,Meningitis,SYM0008,high fever
DIS047,Meningitis,SYM0127,light sensitivity
DIS047,Meningitis,SYM0021,nausea
DIS047,Meningitis,SYM0017,rash
DIS047,Meningitis,SYM0156,altered consciousness
DIS048,Encephalitis,SYM0027,fever
DIS048,Encephalitis,SYM0023,severe headache
DIS048,Encephalitis,SYM0045,confusion
DIS048,Encephalitis,SYM0131,seizures
DIS048,Encephalitis,SYM0030,vomiting
DIS048,Encephalitis,SYM0157,stiff neck
DIS048,Encephalitis,SYM0158,sensitivity to light
DIS049,Bell's Palsy,SYM0159,facial drooping
DIS049,Bell's Palsy,SYM0160,inability to close eye
DIS049,Bell's Palsy,SYM0161,drooling
DIS049,Bell's Palsy,SYM0162,taste changes
DIS049,Bell's Palsy,SYM0163,ear pain
DIS049,Bell's Palsy,SYM0007,headache
DIS049,Bell's Palsy,SYM0164,sensitivity to sound
DIS050,Trigeminal Neuralgia,SYM0165,severe facial pain
DIS050,Trigeminal Neuralgia,SYM0166,electric shock pain
DIS050,Trigeminal Neuralgia,SYM0167,pain on chewing
DIS050,Trigeminal Neuralgia,SYM0168,pain on speaking
DIS050,Trigeminal Neuralgia,SYM0169,pain on touching face
DIS050,Trigeminal Neuralgia,SYM0170,burning sensation
DIS050,Trigeminal Neuralgia,SYM0086,jaw pain
DIS051,Guillain-Barre Syndrome,SYM0171,weakness in legs
DIS051,Guillain-Barre Syndrome,SYM0172,pins and needles
DIS051,Guillain-Barre Syndrome,SYM0173,difficulty walking
DIS051,Guillain-Barre Syndrome,SYM0069,rapid heart rate
DIS051,Guillain-Barre Syndrome,SYM0070,low blood pressure
DIS051,Guillain-Barre Syndrome,SYM0174,breathing difficulty
DIS051,Guillain-Barre Syndrome,SYM0175,facial weakness
DIS052,Cerebral Palsy,SYM0133,muscle stiffness
DIS052,Cerebral Palsy,SYM0176,poor coordination
DIS052,Cerebral Palsy,SYM0142,tremors
DIS052,Cerebral Palsy,SYM0177,involuntary movements
DIS052,Cerebral Palsy,SYM0178,speech problems
DIS052,Cerebral Palsy,SYM0179,intellectual disability
DIS052,Cerebral Palsy,SYM0131,seizures
DIS053,Huntington's Disease,SYM0177,involuntary movements
DIS053,Huntington's Disease,SYM0180,cognitive decline
DIS053,Huntington's Disease,SYM0056,mood changes
DIS053,Huntington's Disease,SYM0058,balance problems
DIS053,Huntington's Disease,SYM0181,difficulty swallowing
DIS053,Huntington's Disease,SYM0178,speech problems
DIS053,Huntington's Disease,SYM0182,personality changes
DIS054,Amyotrophic Lateral Sclerosis,SYM0049,muscle weakness
DIS054,Amyotrophic Lateral Sclerosis,SYM0183,slurred speech
DIS054,Amyotrophic Lateral Sclerosis,SYM0181,difficulty swallowing
DIS054,Amyotrophic Lateral Sclerosis,SYM0184,muscle twitching
DIS054,Amyotrophic Lateral Sclerosis,SYM0185,muscle cramps
DIS054,Amyotrophic Lateral Sclerosis,SYM0174,breathing difficulty
DIS054,Amyotrophic Lateral Sclerosis,SYM0186,cognitive changes
DIS055,Transient Ischaemic Attack,SYM0187,sudden weakness
DIS055,Transient Ischaemic Attack,SYM0178,speech problems
DIS055,Transient Ischaemic Attack,SYM0152,vision problems
DIS055,Transient Ischaemic Attack,SYM0035,dizziness
DIS055,Transient Ischaemic Attack,SYM0023,severe headache
DIS055,Transient Ischaemic Attack,SYM0141,loss of balance
DIS055,Transient Ischaemic Attack,SYM0054,numbness
DIS056,Neuralgia,SYM0188,burning pain
DIS056,Neuralgia,SYM0189,sharp pain
DIS056,Neuralgia,SYM0190,sensitivity to touch
DIS056,Neuralgia,SYM0049,muscle weakness
DIS056,Neuralgia,SYM0054,numbness
DIS056,Neuralgia,SYM0191,tingling
DIS056,Neuralgia,SYM0192,electric shock sensation
DIS057,Narcolepsy,SYM0193,excessive sleepiness
DIS057,Narcolepsy,SYM0194,sudden muscle weakness
DIS057,Narcolepsy,SYM0195,sleep paralysis
DIS057,Narcolepsy,SYM0079,hallucinations
DIS057,Narcolepsy,SYM0196,disrupted night sleep
DIS057,Narcolepsy,SYM0197,automatic behaviour
DIS057,Narcolepsy,SYM0198,memory lapses
DIS058,Restless Leg Syndrome,SYM0199,leg discomfort
DIS058,Restless Leg Syndrome,SYM0200,urge to move legs
DIS058,Restless Leg Syndrome,SYM0201,worse at night
DIS058,Restless Leg Syndrome,SYM0202,sleep disturbance
DIS058,Restless Leg Syndrome,SYM0203,crawling sensation
DIS058,Restless Leg Syndrome,SYM0204,relief with movement
DIS058,Restless Leg Syndrome,SYM0205,daytime fatigue
DIS059,Chronic Daily Headache,SYM0206,daily headache
DIS059,Chronic Daily Headache,SYM0207,head pressure
DIS059,Chronic Daily Headache,SYM0208,neck pain
DIS059,Chronic Daily Headache,SYM0010,fatigue
DIS059,Chronic Daily Headache,SYM0035,dizziness
DIS059,Chronic Daily Headache,SYM0158,sensitivity to light
DIS059,Chronic Daily Headache,SYM0021,nausea
DIS060,Myasthenia Gravis,SYM0209,drooping eyelids
DIS060,Myasthenia Gravis,SYM0210,double vision
DIS060,Myasthenia Gravis,SYM0183,slurred speech
DIS060,Myasthenia Gravis,SYM0181,difficulty swallowing
DIS060,Myasthenia Gravis,SYM0049,muscle weakness
DIS060,Myasthenia Gravis,SYM0010,fatigue
DIS060,Myasthenia Gravis,SYM0174,breathing difficulty
DIS061,Osteoarthritis,SYM0025,joint pain
DIS061,Osteoarthritis,SYM0211,joint stiffness
DIS061,Osteoarthritis,SYM0101,swelling
DIS061,Osteoarthritis,SYM0212,reduced range of motion
DIS061,Osteoarthritis,SYM0213,grating sensation
DIS061,Osteoarthritis,SYM0214,bone spurs
DIS061,Osteoarthritis,SYM0215,joint tenderness
DIS062,Rheumatoid Arthritis,SYM0025,joint pain
DIS062,Rheumatoid Arthritis,SYM0211,joint stiffness
DIS062,Rheumatoid Arthritis,SYM0101,swelling
DIS062,Rheumatoid Arthritis,SYM0010,fatigue
DIS062,Rheumatoid Arthritis,SYM0027,fever
DIS062,Rheumatoid Arthritis,SYM0016,loss of appetite
DIS062,Rheumatoid Arthritis,SYM0216,joint deformity
DIS063,Osteoporosis,SYM0052,back pain
DIS063,Osteoporosis,SYM0217,loss of height
DIS063,Osteoporosis,SYM0218,stooped posture
DIS063,Osteoporosis,SYM0219,fragile bones
DIS063,Osteoporosis,SYM0220,bone fractures
DIS063,Osteoporosis,SYM0208,neck pain
DIS063,Osteoporosis,SYM0025,joint pain
DIS064,Gout,SYM0221,sudden joint pain
DIS064,Gout,SYM0101,swelling
DIS064,Gout,SYM0104,redness
DIS064,Gout,SYM0105,warmth
DIS064,Gout,SYM0222,tenderness
DIS064,Gout,SYM0223,limited range of motion
DIS064,Gout,SYM0224,recurrent attacks
DIS065,Scoliosis,SYM0225,uneven shoulders
DIS065,Scoliosis,SYM0226,uneven waist
DIS065,Scoliosis,SYM0227,one hip higher
DIS065,Scoliosis,SYM0052,back pain
DIS065,Scoliosis,SYM0228,visible spine curve
DIS065,Scoliosis,SYM0010,fatigue
DIS065,Scoliosis,SYM0174,breathing difficulty
DIS066,Herniated Disc,SYM0052,back pain
DIS066,Herniated Disc,SYM0229,radiating leg pain
DIS066,Herniated Disc,SYM0054,numbness
DIS066,Herniated Disc,SYM0191,tingling
DIS066,Herniated Disc,SYM0049,muscle weakness
DIS066,Herniated Disc,SYM0230,pain on movement
DIS066,Herniated Disc,SYM0154,bladder problems
DIS067,Frozen Shoulder,SYM0097,shoulder pain
DIS067,Frozen Shoulder,SYM0231,stiffness
DIS067,Frozen Shoulder,SYM0223,limited range of motion
DIS067,Frozen Shoulder,SYM0232,aching pain
DIS067,Frozen Shoulder,SYM0233,pain at night
DIS067,Frozen Shoulder,SYM0234,difficulty reaching
DIS067,Frozen Shoulder,SYM0049,muscle weakness
DIS068,Carpal Tunnel Syndrome,SYM0235,hand numbness
DIS068,Carpal Tunnel Syndrome,SYM0236,tingling in fingers
DIS068,Carpal Tunnel Syndrome,SYM0237,wrist pain
DIS068,Carpal Tunnel Syndrome,SYM0238,grip weakness
DIS068,Carpal Tunnel Syndrome,SYM0170,burning sensation
DIS068,Carpal Tunnel Syndrome,SYM0239,hand weakness
DIS068,Carpal Tunnel Syndrome,SYM0240,night symptoms
DIS069,Tennis Elbow,SYM0241,outer elbow pain
DIS069,Tennis Elbow,SYM0242,forearm pain
DIS069,Tennis Elbow,SYM0238,grip weakness
DIS069,Tennis Elbow,SYM0230,pain on movement
DIS069,Tennis Elbow,SYM0222,tenderness
DIS069,Tennis Elbow,SYM0231,stiffness
DIS069,Tennis Elbow,SYM0243,arm pain
DIS070,Plantar Fasciitis,SYM0244,heel pain
DIS070,Plantar Fasciitis,SYM0245,foot pain
DIS070,Plantar Fasciitis,SYM0246,morning pain
DIS070,Plantar Fasciitis,SYM0247,arch pain
DIS070,Plantar Fasciitis,SYM0101,swelling
DIS070,Plantar Fasciitis,SYM0222,tenderness
DIS070,Plantar Fasciitis,SYM0231,stiffness
DIS071,Bone Fracture,SYM0248,pain
DIS071,Bone Fracture,SYM0101,swelling
DIS071,Bone Fracture,SYM0249,bruising
DIS071,Bone Fracture,SYM0250,deformity
DIS071,Bone Fracture,SYM0251,inability to move
DIS071,Bone Fracture,SYM0054,numbness
DIS071,Bone Fracture,SYM0222,tenderness
DIS072,Ligament Sprain,SYM0248,pain
DIS072,Ligament Sprain,SYM0101,swelling
DIS072,Ligament Sprain,SYM0249,bruising
DIS072,Ligament Sprain,SYM0252,limited movement
DIS072,Ligament Sprain,SYM0253,instability
DIS072,Ligament Sprain,SYM0254,popping sound
DIS072,Ligament Sprain,SYM0222,tenderness
DIS073,Muscle Strain,SYM0022,muscle pain
DIS073,Muscle Strain,SYM0101,swelling
DIS073,Muscle Strain,SYM0249,bruising
DIS073,Muscle Strain,SYM0252,limited movement
DIS073,Muscle Strain,SYM0049,muscle weakness
DIS073,Muscle Strain,SYM0255,muscle spasm
DIS073,Muscle Strain,SYM0231,stiffness
DIS074,Bursitis,SYM0025,joint pain
DIS074,Bursitis,SYM0101,swelling
DIS074,Bursitis,SYM0105,warmth
DIS074,Bursitis,SYM0222,tenderness
DIS074,Bursitis,SYM0231,stiffness
DIS074,Bursitis,SYM0104,redness
DIS074,Bursitis,SYM0230,pain on movement
DIS075,Osteomyelitis,SYM0048,bone pain
DIS075,Osteomyelitis,SYM0101,swelling
DIS075,Osteomyelitis,SYM0104,redness
DIS075,Osteomyelitis,SYM0027,fever
DIS075,Osteomyelitis,SYM0105,warmth
DIS075,Osteomyelitis,SYM0010,fatigue
DIS075,Osteomyelitis,SYM0256,irritability
DIS076,Paget's Disease of Bone,SYM0048,bone pain
DIS076,Paget's Disease of Bone,SYM0257,bone deformity
DIS076,Paget's Disease of Bone,SYM0258,fractures
DIS076,Paget's Disease of Bone,SYM0025,joint pain
DIS076,Paget's Disease of Bone,SYM0259,hearing loss
DIS076,Paget's Disease of Bone,SYM0007,headache
DIS076,Paget's Disease of Bone,SYM0260,increased bone size
DIS077,Ankylosing Spondylitis,SYM0261,lower back pain
DIS077,Ankylosing Spondylitis,SYM0231,stiffness
DIS077,Ankylosing Spondylitis,SYM0262,pain improves with exercise
DIS077,Ankylosing Spondylitis,SYM0010,fatigue
DIS077,Ankylosing Spondylitis,SYM0263,eye inflammation
DIS077,Ankylosing Spondylitis,SYM0264,reduced flexibility
DIS077,Ankylosing Spondylitis,SYM0265,hip pain
